Variable;2015 Q no.;Survey Question;Answer Options;Coding
;;;;
b_1;(entered after);Case ID;continuous;
;;;;
b_2;(entered after);MEP ID;continuous;
;;;;
b_3;(entered after);Survey Year;2000;1
;;;2006;2
;;;2011;3
;;;2015;4
;;;;
;;SECTION I. PERSONAL CHARACTERISTICS;;
;;;;
q1_1;q1_1;Member State;Belgium;1
;;In which member state were you elected?;Bulgaria;2
;;;Czech Republic;3
;;;Denmark;4
;;;Germany;5
;;;Estonia;6
;;;Ireland;7
;;;Greece;8
;;;Spain;9
;;;France;10
;;;Italy;11
;;;Cyprus;12
;;;Latvia;13
;;;Lithuania;14
;;;Luxembourg;15
;;;Hungary;16
;;;Malta;17
;;;Netherlands;18
;;;Austria;19
;;;Poland;20
;;;Portugal;21
;;;Romania;22
;;;Slovenia;23
;;;Slovakia;24
;;;Finland;25
;;;Sweden;26
;;;United Kingdom;27
;;;Croatia;28
;;;;
q1_2;q1_2;EP Group;European People's Party-European Democrats (EPP - ED);1
;;What is your Party/Political Group in the European Parliament?;Group of the Party of European Socialists;2
;;;Alliance of Liberals and Democrats for Europe (ALDE);3
;;;European Greens - European Free Alliance (Greens- EFA);4
;;;European Conservatives and Reformists (ECR);5
;;;European United Left/Nordic Green Left (GUE-NGL);6
;;;Non-attached ;8
;;;Europe of Freedom and Direct Democracy (EFDD);12
;;;Europe of Nations and Freedom (ENF);13
;;;;
q1_3;(entered after);National Party;(entered separately);Name of national party
;;;;
;;;;
q1_5a;q1_3a;When did you first become an MEP (Month);January;1
;;;February;2
;;;March;3
;;;April;4
;;;May;5
;;;June;6
;;;July;7
;;;August;8
;;;September;9
;;;October;10
;;;November;11
;;;December;12
;;;;
q1_5b;q1_3b;Date of Election;Year first became MEP entered;
;;When did you first become an MEP (Year);;
;;;;
;;;;
q1_7;(entered after);Gender;Male;1
;;What is your gender?;Female;2
;;;;
q1_10;(entered after);Survey mode;Online;1
;;;Face to face;2
;;;Postal;3
;;;;
;;;;
;;SECTION II. CAREER;;
;;;;
;;;;
q2_6a;q1_4;Past Career;;
;;Have you previously held any of these postitions;No;0
;;;Yes;1
q2_6a_1;q1_4_1;Member of national parliament;;
q2_6a_2;q1_4_2;Member of national government;;
q2_6a_3;q1_4_3;European Commissioner;;
q2_6a_4;q1_4_4;Observer to the European Parliament;;
q2_6a_5;q1_4_5;European party or political group official;;
q2_6a_6;q1_4_6;Assistant to an MEP;;
q2_6a_7;q1_4_7;Official (functionnaire) in the European Parliament;;
q2_6a_8;q1_4_8;Official in the Commission;;
q2_6a_9;q1_4_9;Official in the Council;;
q2_6a_10;q1_4_10;A ’lobbyist’ in Brussels;;
q2_6a_11;q1_4_11;None of the above;;
;;;;
q2_6;q1_5;Have you ever held, or do you currently hold, any of these positions?  (MULTIPLE ANSWERS POSSIBLE) ;;
;;;;
;;;currently hold;2
;;;neither;3
q2_6_9;q1_5_1;Regional or local elected office;previously held;1
;;;currently hold;2
;;;neither;3
q2_6_11;q1_5_2;President of the European Parliament;previously held;1
;;;currently hold;2
;;;neither;3
q2_6_12;q1_5_3;President of a European political group;previously held;1
;;;currently hold;2
;;;neither;3
q2_6_13;q1_5_4;Leader of a national party delegation in the European Parliament;previously held;1
;;;currently hold;2
;;;neither;3
q2_6_14;q1_5_5;Chair or Vice-Chair of a European Parliament committee;previously held;1
;;;currently hold;2
;;;neither;3
q2_6_15;q1_5_6;Group Coordinator in a European Parliament committee;previously held;1
;;;currently hold;2
;;;neither;3
q2_6_16;q1_5_7;Vice-President or Quaestor of the European Parliament;previously held;1
;;;currently hold;2
;;;neither;3
q2_6_18;q1_5_8;Domestic party official;previously held;1
;;;currently hold;2
;;;neither;3
q2_6_26;q1_5_9;Official in a women's organisation;previously held;1
;;;currently hold;2
;;;neither;3
q2_6_30;q1_5_10;Official in an interest group, trade union or professional association;previously held;1
;;;currently hold;2
;;;neither;3
;;;;
q2_7;q1_6;Future Career;;
;;What would you like to be doing 10 years from now? ;;
;;;;
q2_7_1;q1_6_1;Member of the European Parliament;Yes;1
;;;No;0
q2_7_2;q1_6_2;Chair of an European Parliament committee;Yes;1
;;;No;0
q2_7_3;q1_6_3;Chair of an European political group;Yes;1
;;;No;0
q2_7_4;q1_6_4;Member of a national parliament;Yes;1
;;;No;0
q2_7_5;q1_6_5;Member of a national government;Yes;1
;;;No;0
q2_7_6;q1_6_6;European Commissioner;Yes;1
;;;No;0
q2_7_7;q1_6_7;Retired from public life;Yes;1
;;;No;0
q2_7_10;q1_6_8;Something else, please specify:;Various;text entered
;;;;
q2_8;q1_10;Do you intend to stand in the next European election? ;Yes;1
;;;No;2
;;;Not decided yet;3
;;;;
q2_9_1;q1_11_1;(If answer no to above question): Why do you not intend to stand?;I do not think I will be re-elected;1
;;;I have decided to pursue a career in national politics;2
;;;I have decided to pursue a career outside politics;3
;;;Other;0
q2_9_2;q1_11_2;;Other: please specify;text entered
;;;;
;;SECTION III. POLITICAL ATTITUDES & IDENTITY;;
;;;;
q3_1_1;q4_1_1;Left-Right Self-Placement;0 (LEFT) ;1
;;In political matters, people talk of the 'left' and the 'right'. Where would you place each of the following on a scale from 0 to 10, where o means 'left' and 10 means 'right'? Yourself;1;2
;;;2;3
;;;3;4
;;;4;5
;;;5;6
;;;6;7
;;;7;8
;;;8;9
;;;9;10
;;;10 (RIGHT);11
;;;;
q3_1_2;q4_1_2;Left-Right national party placement;0 (LEFT) ;1
;;In political matters, people talk of the 'left' and the 'right'. Where would you place each of the following on a scale from 0 to 10, where o means 'left' and 10 means 'right'? Your national party;1;2
;;;2;3
;;;3;4
;;;4;5
;;;5;6
;;;6;7
;;;7;8
;;;8;9
;;;9;10
;;;10 (RIGHT);11
;;;;
q3_1_3;q4_1_4;Left-Right EP group placement;0 (LEFT) ;1
;;In political matters, people talk of the 'left' and the 'right'. Where would you place each of the following on a scale from 0 to 10, where o means 'left' and 10 means 'right'? Your European political group;1;2
;;;2;3
;;;3;4
;;;4;5
;;;5;6
;;;6;7
;;;7;8
;;;8;9
;;;9;10
;;;10 (RIGHT);11
;;;;
q3_1_4;q4_1_3;Left-Right party's voters placement;;
